[1455733800] LOG ROTATION: DAILY
[1455733800] LOG VERSION: 2.0
[1455753669] SERVICE ALERT: credr_DW_52.76.17.124;PG Locks;WARNING;HARD;3;POSTGRES_LOCKS WARNING: DB "apps_data" total locks: 135
[1455753669] SERVICE NOTIFICATION: nagiosadmin;credr_DW_52.76.17.124;PG Locks;WARNING;notify-service-by-email;POSTGRES_LOCKS WARNING: DB "apps_data" total locks: 135
[1455753669] SERVICE NOTIFICATION: mohit;credr_DW_52.76.17.124;PG Locks;WARNING;notify-service-by-email;POSTGRES_LOCKS WARNING: DB "apps_data" total locks: 135
[1455753669] SERVICE NOTIFICATION: nitin;credr_DW_52.76.17.124;PG Locks;WARNING;notify-service-by-email;POSTGRES_LOCKS WARNING: DB "apps_data" total locks: 135
[1455753669] SERVICE NOTIFICATION: suneet;credr_DW_52.76.17.124;PG Locks;WARNING;notify-service-by-email;POSTGRES_LOCKS WARNING: DB "apps_data" total locks: 135
[1455753669] SERVICE NOTIFICATION: sudheer;credr_DW_52.76.17.124;PG Locks;WARNING;notify-service-by-email;POSTGRES_LOCKS WARNING: DB "apps_data" total locks: 135
[1455753669] SERVICE NOTIFICATION: nagiosdb;credr_DW_52.76.17.124;PG Locks;WARNING;notify-service-by-email;POSTGRES_LOCKS WARNING: DB "apps_data" total locks: 135
[1455753669] wproc: NOTIFY job 118188 from worker Core Worker 13162 is a non-check helper but exited with return code 2
[1455753669] wproc:   host=credr_DW_52.76.17.124; service=PG Locks; contact=nagiosdb
[1455753669] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1455753669] wproc:   stderr line 01: Send options without primary recipient specified.
[1455753669] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1455754209] SERVICE ALERT: credr_DW_52.76.17.124;PG Locks;OK;HARD;3;POSTGRES_LOCKS OK: DB "apps_data" total=28
[1455754209] SERVICE NOTIFICATION: nagiosadmin;credr_DW_52.76.17.124;PG Locks;OK;notify-service-by-email;POSTGRES_LOCKS OK: DB "apps_data" total=28
[1455754209] SERVICE NOTIFICATION: mohit;credr_DW_52.76.17.124;PG Locks;OK;notify-service-by-email;POSTGRES_LOCKS OK: DB "apps_data" total=28
[1455754209] SERVICE NOTIFICATION: nitin;credr_DW_52.76.17.124;PG Locks;OK;notify-service-by-email;POSTGRES_LOCKS OK: DB "apps_data" total=28
[1455754209] SERVICE NOTIFICATION: suneet;credr_DW_52.76.17.124;PG Locks;OK;notify-service-by-email;POSTGRES_LOCKS OK: DB "apps_data" total=28
[1455754209] SERVICE NOTIFICATION: sudheer;credr_DW_52.76.17.124;PG Locks;OK;notify-service-by-email;POSTGRES_LOCKS OK: DB "apps_data" total=28
[1455754209] SERVICE NOTIFICATION: nagiosdb;credr_DW_52.76.17.124;PG Locks;OK;notify-service-by-email;POSTGRES_LOCKS OK: DB "apps_data" total=28
[1455754209] wproc: NOTIFY job 118276 from worker Core Worker 13159 is a non-check helper but exited with return code 2
[1455754209] wproc:   host=credr_DW_52.76.17.124; service=PG Locks; contact=nagiosdb
[1455754209] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1455754209] wproc:   stderr line 01: Send options without primary recipient specified.
[1455754209] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1455757238] Auto-save of retention data completed successfully.
[1455757301] SERVICE ALERT: credr_DW_52.76.17.124;CPU Usage;WARNING;SOFT;1;CPU STATISTICS WARNING : user=45.50% system=4.50%, iowait=0.00%, idle=50.00%, nice=0.00%, steal=0.00%
[1455757361] SERVICE ALERT: credr_DW_52.76.17.124;CPU Usage;WARNING;SOFT;2;CPU STATISTICS WARNING : user=45.27% system=4.98%, iowait=0.00%, idle=49.75%, nice=0.00%, steal=0.00%
[1455757421] SERVICE ALERT: credr_DW_52.76.17.124;CPU Usage;WARNING;HARD;3;CPU STATISTICS WARNING : user=46.77% system=3.48%, iowait=0.00%, idle=49.75%, nice=0.00%, steal=0.00%
[1455757421] SERVICE NOTIFICATION: nagiosadmin;credr_DW_52.76.17.124;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=46.77% system=3.48%, iowait=0.00%, idle=49.75%, nice=0.00%, steal=0.00%
[1455757421] SERVICE NOTIFICATION: mohit;credr_DW_52.76.17.124;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=46.77% system=3.48%, iowait=0.00%, idle=49.75%, nice=0.00%, steal=0.00%
[1455757421] SERVICE NOTIFICATION: nitin;credr_DW_52.76.17.124;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=46.77% system=3.48%, iowait=0.00%, idle=49.75%, nice=0.00%, steal=0.00%
[1455757421] SERVICE NOTIFICATION: suneet;credr_DW_52.76.17.124;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=46.77% system=3.48%, iowait=0.00%, idle=49.75%, nice=0.00%, steal=0.00%
[1455757421] SERVICE NOTIFICATION: sudheer;credr_DW_52.76.17.124;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=46.77% system=3.48%, iowait=0.00%, idle=49.75%, nice=0.00%, steal=0.00%
[1455757421] SERVICE NOTIFICATION: nagiosdb;credr_DW_52.76.17.124;CPU Usage;WARNING;notify-service-by-email;CPU STATISTICS WARNING : user=46.77% system=3.48%, iowait=0.00%, idle=49.75%, nice=0.00%, steal=0.00%
[1455757421] wproc: NOTIFY job 118802 from worker Core Worker 13161 is a non-check helper but exited with return code 2
[1455757421] wproc:   host=credr_DW_52.76.17.124; service=CPU Usage; contact=nagiosdb
[1455757421] wproc:   early_timeout=0; exited_ok=1; wait_status=512; error_code=0;
[1455757421] wproc:   stderr line 01: Send options without primary recipient specified.
[1455757421] wproc:   stderr line 02: Usage: mail -eiIUdEFntBDNHRV~ -T FILE -u USER -h hops -r address -s SUBJECT -a FILE -q FILE -f FILE -A ACCOUNT -b USERS -c USERS -S OPTION users
[1455757601] SERVICE ALERT: credr_DW_52.76.17.124;CPU Usage;OK;HARD;3;CPU STATISTICS OK : user=31.19% system=0.99%, iowait=0.00%, idle=67.33%, nice=0.00%, steal=0.50%
[1455757601] SERVICE NOTIFICATION: nagiosadmin;credr_DW_52.76.17.124;CPU Usage;OK;notify-service-by-email;CPU STATISTICS OK : user=31.19% system=0.99%, iowait=0.00%, idle=67.33%, nice=0.00%, steal=0.50%
[1455757601] SERVICE NOTIFICATION: mohit;credr_DW_52.76.17.124;CPU Usage;OK;notify-service-by-email;CPU STATISTICS OK : user=31.19% system=0.99%, iowait=0.00%, idle=67.33%, nice=0.00%, steal=0.50%
